country,year,total_cases,population
Brazil,1995,350000,161890816
Brazil,1996,370000,164392423
Brazil,1997,390000,166925457
Brazil,1998,410000,169472347
Brazil,1999,430000,172006362
Brazil,2000,440000,174504898
Brazil,2001,450000,176968205
Brazil,2002,460000,179393768
Brazil,2003,470000,181752951
Brazil,2004,480000,184010283
Brazil,2005,480000,186142403
Brazil,2006,480000,188134315
Brazil,2007,490000,189996976
Brazil,2008,490000,191765567
Brazil,2009,490000,193490922
Botswana,1995,160000,1583453
Botswana,1996,180000,1620989
Botswana,1997,210000,1657349
Botswana,1998,230000,1692148
Botswana,1999,250000,1724924
Botswana,2000,260000,1755375
Botswana,2001,270000,1783349
Botswana,2002,270000,1808976
Botswana,2003,280000,1832602
Botswana,2004,280000,1854739
Botswana,2005,280000,1875805
Botswana,2006,280000,1895944
Botswana,2007,280000,1915187
Botswana,2008,290000,1933719
Botswana,2009,290000,1951715
Cote d'Ivoire,1995,540000,14217430
Cote d'Ivoire,1996,570000,14632391
Cote d'Ivoire,1997,580000,15042149
Cote d'Ivoire,1998,590000,15436470
Cote d'Ivoire,1999,590000,15802248
Cote d'Ivoire,2000,580000,16131332
Cote d'Ivoire,2001,560000,16420173
Cote d'Ivoire,2002,540000,16674987
Cote d'Ivoire,2003,520000,16909801
Cote d'Ivoire,2004,490000,17144325
Cote d'Ivoire,2005,470000,17393994
Cote d'Ivoire,2006,440000,17662417
Cote d'Ivoire,2007,420000,17949061
Cote d'Ivoire,2008,400000,18260044
Cote d'Ivoire,2009,380000,18601342
Cameroon,1995,230000,13929575
Cameroon,1996,270000,14316949
Cameroon,1997,310000,14709426
Cameroon,1998,350000,15107909
Cameroon,1999,390000,15513653
Cameroon,2000,420000,15927713
Cameroon,2001,450000,16350440
Cameroon,2002,470000,16782044
Cameroon,2003,490000,17223277
Cameroon,2004,500000,17674960
Cameroon,2005,520000,18137734
Cameroon,2006,530000,18611937
Cameroon,2007,540000,19097676
Cameroon,2008,540000,19595026
Cameroon,2009,550000,20103945
Ethiopia,1995,910000,57023519
Ethiopia,1996,1000000,58815116
Ethiopia,1997,1100000,60584273
Ethiopia,1998,1200000,62353942
Ethiopia,1999,1200000,64158887
Ethiopia,2000,1300000,66024199
Ethiopia,2001,1300000,67956866
Ethiopia,2002,1300000,69948344
Ethiopia,2003,1200000,71989666
Ethiopia,2004,1200000,74066147
Ethiopia,2005,1100000,76167240
Ethiopia,2006,1100000,78290649
Ethiopia,2007,990000,80440708
Ethiopia,2008,930000,82621190
Ethiopia,2009,870000,84838032
Ghana,1995,170000,16760926
Ghana,1996,190000,17169151
Ghana,1997,200000,17568461
Ghana,1998,220000,17968830
Ghana,1999,230000,18384302
Ghana,2000,240000,18825034
Ghana,2001,250000,19293392
Ghana,2002,250000,19786307
Ghana,2003,260000,20301686
Ghana,2004,260000,20835514
Ghana,2005,250000,21384034
Ghana,2006,250000,21947779
Ghana,2007,250000,22525659
Ghana,2008,240000,23110139
Ghana,2009,240000,23691533
India,1995,1300000,955804355
India,1996,1600000,973147577
India,1997,1800000,990460131
India,1998,2000000,1007746556
India,1999,2300000,1025014711
India,2000,2400000,1042261758
India,2001,2500000,1059500888
India,2002,2600000,1076705723
India,2003,2600000,1093786762
India,2004,2600000,1110626108
India,2005,2580000,1127143548
India,2006,2540000,1143289350
India,2007,2490000,1159095250
India,2008,2440000,1174662334
India,2009,2400000,1190138069
Kenya,1995,1300000,27418077
Kenya,1996,1500000,28186224
Kenya,1997,1600000,28943647
Kenya,1998,1600000,29702246
Kenya,1999,1600000,30478597
Kenya,2000,1600000,31285050
Kenya,2001,1600000,32126351
Kenya,2002,1600000,33000524
Kenya,2003,1600000,33905011
Kenya,2004,1500000,34834606
Kenya,2005,1500000,35785718
Kenya,2006,1500000,36757498
Kenya,2007,1500000,37752304
Kenya,2008,1500000,38773277
Kenya,2009,1600000,39824734
Lesotho,1995,110000,1753824
Lesotho,1996,150000,1779197
Lesotho,1997,190000,1801679
Lesotho,1998,210000,1821609
Lesotho,1999,230000,1839611
Lesotho,2000,250000,1856225
Lesotho,2001,250000,1871500
Lesotho,2002,260000,1885487
Lesotho,2003,270000,1898757
Lesotho,2004,270000,1912022
Lesotho,2005,270000,1925844
Lesotho,2006,280000,1940413
Lesotho,2007,290000,1955784
Lesotho,2008,290000,1972199
Lesotho,2009,300000,1989873
Myanmar,1995,100000,45329862
Myanmar,1996,120000,45991828
Myanmar,1997,140000,46664455
Myanmar,1998,160000,47321204
Myanmar,1999,190000,47925630
Myanmar,2000,210000,48453000
Myanmar,2001,230000,48894203
Myanmar,2002,240000,49261313
Myanmar,2003,250000,49577152
Myanmar,2004,250000,49875169
Myanmar,2005,260000,50181020
Myanmar,2006,250000,50500070
Myanmar,2007,250000,50828959
Myanmar,2008,240000,51174018
Myanmar,2009,240000,51540490
Mozambique,1995,340000,15981571
Mozambique,1996,430000,16463426
Mozambique,1997,510000,16914628
Mozambique,1998,590000,17350739
Mozambique,1999,670000,17798102
Mozambique,2000,760000,18275618
Mozambique,2001,850000,18785719
Mozambique,2002,930000,19319894
Mozambique,2003,1000000,19873460
Mozambique,2004,1100000,20438827
Mozambique,2005,1100000,21010376
Mozambique,2006,1200000,21587317
Mozambique,2007,1200000,22171404
Mozambique,2008,1300000,22762525
Mozambique,2009,1300000,23361025
Malawi,1995,610000,9964065
Malawi,1996,660000,10153315
Malawi,1997,700000,10404259
