country,year,new_cases,population
Angola,1995,13000,12104952
Angola,1996,15000,12451945
Angola,1997,16000,12791388
Angola,1998,17000,13137542
Angola,1999,18000,13510616
Angola,2000,19000,13924930
Angola,2001,20000,14385283
Angola,2002,21000,14886574
Angola,2003,22000,15421075
Angola,2004,23000,15976715
Angola,2005,23000,16544376
Angola,2006,24000,17122409
Angola,2007,24000,17712824
Angola,2008,24000,18314441
Angola,2009,24000,18926650
Argentina,1995,6700,34833168
Argentina,1996,6700,35264070
Argentina,1997,6900,35690778
Argentina,1998,7000,36109342
Argentina,1999,7100,36514558
Argentina,2000,7000,36903067
Argentina,2001,7300,37273361
Argentina,2002,7400,37627545
Argentina,2003,7500,37970411
Argentina,2004,7600,38308779
Argentina,2005,7700,38647854
Argentina,2006,7700,38988923
Argentina,2007,7600,39331357
Argentina,2008,7500,39676083
Argentina,2009,7500,40023641
Armenia,1995,120,3223173
Armenia,1996,300,3173425
Armenia,1997,300,3137652
Armenia,1998,300,3112958
Armenia,1999,300,3093820
Armenia,2000,120,3076098
Armenia,2001,120,3059960
Armenia,2002,120,3047002
Armenia,2003,120,3036032
Armenia,2004,120,3025652
Armenia,2005,120,3014917
Armenia,2006,120,3002911
Armenia,2007,120,2989882
Armenia,2008,300,2977488
Armenia,2009,300,2968154
Burundi,1995,27000,6209923
Burundi,1996,19000,6294482
Burundi,1997,14000,6369573
Burundi,1998,9800,6447672
Burundi,1999,8100,6545273
Burundi,2000,7300,6674286
Burundi,2001,6900,6839376
Burundi,2002,6900,7037727
Burundi,2003,7200,7264340
Burundi,2004,7400,7510771
Burundi,2005,6900,7770392
Burundi,2006,6000,8042579
Burundi,2007,5100,8328312
Burundi,2008,4400,8624280
Burundi,2009,3700,8926687
Benin,1995,7500,5985658
Benin,1996,7700,6176318
Benin,1997,7300,6361301
Benin,1998,6600,6546493
Benin,1999,6000,6740491
Benin,2000,5500,6949366
Benin,2001,5300,7174911
Benin,2002,5100,7414744
Benin,2003,5000,7665681
Benin,2004,5000,7922796
Benin,2005,5100,8182362
Benin,2006,4800,8443671
Benin,2007,4800,8707490
Benin,2008,4900,8973293
Benin,2009,4900,9240783
Burkina Faso,1995,14000,10089876
Burkina Faso,1996,16000,10372562
Burkina Faso,1997,16000,10664982
Burkina Faso,1998,12000,10967836
Burkina Faso,1999,14000,11281942
Burkina Faso,2000,13000,11607944
Burkina Faso,2001,13000,11946080
Burkina Faso,2002,12000,12296399
Burkina Faso,2003,8500,12659086
Burkina Faso,2004,7900,13034258
Burkina Faso,2005,7300,13421929
Burkina Faso,2006,6900,13822257
Burkina Faso,2007,6900,14235075
Burkina Faso,2008,7000,14659646
Burkina Faso,2009,8000,15094967
Bangladesh,1995,160,119869585
Bangladesh,1996,160,122400896
Bangladesh,1997,350,124945315
Bangladesh,1998,350,127478524
Bangladesh,1999,350,129966823
Bangladesh,2000,350,132383265
Bangladesh,2001,350,134729503
Bangladesh,2002,350,137006279
Bangladesh,2003,750,139185986
Bangladesh,2004,750,141235035
Bangladesh,2005,750,143135180
Bangladesh,2006,750,144868702
Bangladesh,2007,750,146457067
Bangladesh,2008,750,147969967
Bangladesh,2009,750,149503100
Bahamas,1995,750,280050
Bahamas,1996,750,283678
Bahamas,1997,750,286845
Bahamas,1998,750,289926
Bahamas,1999,750,293442
Bahamas,2000,750,297759
Bahamas,2001,750,303005
Bahamas,2002,750,309039
Bahamas,2003,750,315624
Bahamas,2004,750,322400
Bahamas,2005,750,329088
Bahamas,2006,750,335622
Bahamas,2007,350,342049
Bahamas,2008,350,348340
Bahamas,2009,350,354492
Belarus,1995,60,10189075
Belarus,1996,160,10156258
Belarus,1997,350,10120556
Belarus,1998,350,10080772
Belarus,1999,750,10034775
Belarus,2000,1300,9981460
