country,year,total_cases,new_cases
Afghanistan,1990,600,NA
Afghanistan,1991,600,NA
Afghanistan,1992,1000,NA
Afghanistan,1993,1100,NA
Afghanistan,1994,1200,NA
Afghanistan,1995,1300,NA
Afghanistan,1996,1400,NA
Afghanistan,1997,1500,NA
Afghanistan,1998,1600,NA
Afghanistan,1999,1800,NA
Afghanistan,2000,1900,NA
Afghanistan,2001,2000,NA
Afghanistan,2002,2200,NA
Afghanistan,2003,2400,NA
Afghanistan,2004,2700,NA
Afghanistan,2005,2900,NA
Afghanistan,2006,3200,NA
Afghanistan,2007,3600,NA
Afghanistan,2008,4100,NA
Afghanistan,2009,4600,NA
Angola,1990,33000,7500
Angola,1991,39000,8500
Angola,1992,46000,9500
Angola,1993,54000,11000
Angola,1994,62000,12000
Angola,1995,71000,13000
Angola,1996,80000,15000
Angola,1997,89000,16000
Angola,1998,99000,17000
Angola,1999,110000,18000
Angola,2000,120000,19000
Angola,2001,130000,20000
Angola,2002,140000,21000
Angola,2003,150000,22000
Angola,2004,160000,23000
Angola,2005,170000,23000
Angola,2006,180000,24000
Angola,2007,190000,24000
Angola,2008,2e+05,24000
Angola,2009,210000,24000
Argentina,1990,27000,4900
Argentina,1991,31000,5400
Argentina,1992,35000,5800
Argentina,1993,39000,6300
Argentina,1994,43000,6700
Argentina,1995,47000,6700
Argentina,1996,51000,6700
Argentina,1997,54000,6900
Argentina,1998,58000,7000
Argentina,1999,61000,7100
Argentina,2000,64000,7000
Argentina,2001,66000,7300
Argentina,2002,68000,7400
Argentina,2003,71000,7500
Argentina,2004,74000,7600
Argentina,2005,77000,7700
Argentina,2006,80000,7700
Argentina,2007,83000,7600
Argentina,2008,86000,7500
Argentina,2009,90000,7500
Armenia,1990,350,60
Armenia,1991,600,60
Armenia,1992,600,60
Armenia,1993,600,60
Armenia,1994,1000,120
Armenia,1995,1300,120
Armenia,1996,1600,300
Armenia,1997,2000,300
Armenia,1998,2400,300
Armenia,1999,2800,300
Armenia,2000,3200,120
Armenia,2001,3500,120
Armenia,2002,3700,120
Armenia,2003,3800,120
Armenia,2004,3800,120
Armenia,2005,3800,120
Armenia,2006,3800,120
Armenia,2007,3700,120
Armenia,2008,3600,300
Armenia,2009,3600,300
Australia,1990,12000,NA
Australia,1991,12000,NA
Australia,1992,12000,NA
Australia,1993,11000,NA
Australia,1994,11000,NA
Australia,1995,11000,NA
Australia,1996,11000,NA
Australia,1997,11000,NA
Australia,1998,11000,NA
Australia,1999,12000,NA
Australia,2000,12000,NA
Australia,2001,13000,NA
Australia,2002,14000,NA
Australia,2003,14000,NA
Australia,2004,15000,NA
Australia,2005,16000,NA
Australia,2006,17000,NA
Australia,2007,18000,NA
Australia,2008,19000,NA
Australia,2009,20000,NA
Austria,1990,600,NA
Austria,1991,600,NA
Austria,1992,1000,NA
Austria,1993,1300,NA
Austria,1994,1500,NA
Austria,1995,1900,NA
Austria,1996,2300,NA
Austria,1997,2800,NA
Austria,1998,3300,NA
Austria,1999,4000,NA
Austria,2000,4700,NA
Austria,2001,5500,NA
Austria,2002,6400,NA
Austria,2003,7500,NA
Austria,2004,8600,NA
Austria,2005,9900,NA
Austria,2006,11000,NA
Austria,2007,12000,NA
Austria,2008,14000,NA
Austria,2009,15000,NA
Azerbaijan,1990,60,NA
Azerbaijan,1991,160,NA
Azerbaijan,1992,160,NA
Azerbaijan,1993,350,NA
Azerbaijan,1994,350,NA
Azerbaijan,1995,600,NA
Azerbaijan,1996,600,NA
Azerbaijan,1997,1200,NA
Azerbaijan,1998,1600,NA
Azerbaijan,1999,2000,NA
Azerbaijan,2000,2500,NA
Azerbaijan,2001,3000,NA
Azerbaijan,2002,3500,NA
Azerbaijan,2003,3900,NA
Azerbaijan,2004,4400,NA
Azerbaijan,2005,4800,NA
Azerbaijan,2006,5100,NA
Azerbaijan,2007,5400,NA
Azerbaijan,2008,5700,NA
Azerbaijan,2009,6000,NA
Burundi,1990,61000,16000
Burundi,1991,76000,20000
Burundi,1992,96000,26000
Burundi,1993,120000,30000
Burundi,1994,140000,32000
Burundi,1995,160000,27000
Burundi,1996,160000,19000
Burundi,1997,160000,14000
