country,year,total_cases,population
Afghanistan,1995,1300,17586073
Afghanistan,1996,1400,18415307
Afghanistan,1997,1500,19021226
Afghanistan,1998,1600,19496836
Afghanistan,1999,1800,19987071
Afghanistan,2000,1900,20595360
Afghanistan,2001,2000,21347782
Afghanistan,2002,2200,22202806
Afghanistan,2003,2400,23116142
Afghanistan,2004,2700,24018682
Afghanistan,2005,2900,24860855
Afghanistan,2006,3200,25631282
Afghanistan,2007,3600,26349243
Afghanistan,2008,4100,27032197
Afghanistan,2009,4600,27708187
Angola,1995,71000,12104952
Angola,1996,80000,12451945
Angola,1997,89000,12791388
Angola,1998,99000,13137542
Angola,1999,110000,13510616
Angola,2000,120000,13924930
Angola,2001,130000,14385283
Angola,2002,140000,14886574
Angola,2003,150000,15421075
Angola,2004,160000,15976715
Angola,2005,170000,16544376
Angola,2006,180000,17122409
Angola,2007,190000,17712824
Angola,2008,200000,18314441
Angola,2009,210000,18926650
Argentina,1995,47000,34833168
Argentina,1996,51000,35264070
Argentina,1997,54000,35690778
Argentina,1998,58000,36109342
Argentina,1999,61000,36514558
Argentina,2000,64000,36903067
Argentina,2001,66000,37273361
Argentina,2002,68000,37627545
Argentina,2003,71000,37970411
Argentina,2004,74000,38308779
Argentina,2005,77000,38647854
Argentina,2006,80000,38988923
Argentina,2007,83000,39331357
Argentina,2008,86000,39676083
Argentina,2009,90000,40023641
Armenia,1995,1300,3223173
Armenia,1996,1600,3173425
Armenia,1997,2000,3137652
Armenia,1998,2400,3112958
Armenia,1999,2800,3093820
Armenia,2000,3200,3076098
Armenia,2001,3500,3059960
Armenia,2002,3700,3047002
Armenia,2003,3800,3036032
Armenia,2004,3800,3025652
Armenia,2005,3800,3014917
Armenia,2006,3800,3002911
Armenia,2007,3700,2989882
Armenia,2008,3600,2977488
Armenia,2009,3600,2968154
Australia,1995,11000,18124234
Australia,1996,11000,18339037
Australia,1997,11000,18563442
Australia,1998,11000,18794552
Australia,1999,12000,19027438
Australia,2000,12000,19259377
Australia,2001,13000,19487257
Australia,2002,14000,19714625
Australia,2003,14000,19953121
Australia,2004,15000,20218481
Australia,2005,16000,20520736
Australia,2006,17000,20865583
Australia,2007,18000,21246274
Australia,2008,19000,21645095
Australia,2009,20000,22037143
Austria,1995,1900,7985372
Austria,1996,2300,8009345
Austria,1997,2800,8014124
Austria,1998,3300,8009051
Austria,1999,4000,8007843
Austria,2000,4700,8020262
Austria,2001,5500,8049440
Austria,2002,6400,8091804
Austria,2003,7500,8142322
Austria,2004,8600,8193157
Austria,2005,9900,8238604
Austria,2006,11000,8277393
Austria,2007,12000,8311463
Austria,2008,14000,8342129
Austria,2009,15000,8371711
Azerbaijan,1995,600,7770806
Azerbaijan,1996,600,7852273
Azerbaijan,1997,1200,7921745
Azerbaijan,1998,1600,7984460
Azerbaijan,1999,2000,8047936
Azerbaijan,2000,2500,8117742
Azerbaijan,2001,3000,8195427
Azerbaijan,2002,3500,8279768
Azerbaijan,2003,3900,8370169
Azerbaijan,2004,4400,8465127
Azerbaijan,2005,4800,8563398
Azerbaijan,2006,5100,8665006
Azerbaijan,2007,5400,8770122
Azerbaijan,2008,5700,8877669
Azerbaijan,2009,6000,8986266
Burundi,1995,160000,6209923
Burundi,1996,160000,6294482
Burundi,1997,160000,6369573
Burundi,1998,160000,6447672
Burundi,1999,150000,6545273
Burundi,2000,140000,6674286
Burundi,2001,130000,6839376
Burundi,2002,130000,7037727
Burundi,2003,120000,7264340
Burundi,2004,110000,7510771
Burundi,2005,110000,7770392
Burundi,2006,100000,8042579
Burundi,2007,99000,8328312
Burundi,2008,94000,8624280
Burundi,2009,89000,8926687
Belgium,1995,4400,10161914
Belgium,1996,5000,10186767
Belgium,1997,5800,10205970
Belgium,1998,6600,10222896
Belgium,1999,7400,10242449
Belgium,2000,8300,10268380
Belgium,2001,9300,10300775
Belgium,2002,10000,10338969
Belgium,2003,11000,10384953
Belgium,2004,12000,10440977
