year,week,region,cases
1995,1,Agadez,0
1995,1,Diffa,0
1995,1,Dosso,4
1995,1,Maradi,64
1995,1,Niamey,22
1995,1,Tahoua,16
1995,1,Tillaberi,1
1995,1,Zinder,3
1995,2,Agadez,0
1995,2,Diffa,0
1995,2,Dosso,18
1995,2,Maradi,75
1995,2,Niamey,21
1995,2,Tahoua,13
1995,2,Tillaberi,32
1995,2,Zinder,0
1995,3,Agadez,0
1995,3,Diffa,0
1995,3,Dosso,31
1995,3,Maradi,123
1995,3,Niamey,30
1995,3,Tahoua,75
1995,3,Tillaberi,29
1995,3,Zinder,9
1995,4,Agadez,0
1995,4,Diffa,0
1995,4,Dosso,51
1995,4,Maradi,155
1995,4,Niamey,39
1995,4,Tahoua,78
1995,4,Tillaberi,29
1995,4,Zinder,2
1995,5,Agadez,1
1995,5,Diffa,0
1995,5,Dosso,70
1995,5,Maradi,158
1995,5,Niamey,22
1995,5,Tahoua,67
1995,5,Tillaberi,49
1995,5,Zinder,15
1995,6,Agadez,1
1995,6,Diffa,0
1995,6,Dosso,105
1995,6,Maradi,184
1995,6,Niamey,102
1995,6,Tahoua,67
1995,6,Tillaberi,49
1995,6,Zinder,5
1995,7,Agadez,1
1995,7,Diffa,0
1995,7,Dosso,114
1995,7,Maradi,183
1995,7,Niamey,195
1995,7,Tahoua,57
1995,7,Tillaberi,44
1995,7,Zinder,9
1995,8,Agadez,0
1995,8,Diffa,0
1995,8,Dosso,195
1995,8,Maradi,210
1995,8,Niamey,201
1995,8,Tahoua,99
1995,8,Tillaberi,212
1995,8,Zinder,6
1995,9,Agadez,1
1995,9,Diffa,3
1995,9,Dosso,250
1995,9,Maradi,160
1995,9,Niamey,346
1995,9,Tahoua,109
1995,9,Tillaberi,228
1995,9,Zinder,4
1995,10,Agadez,9
1995,10,Diffa,0
1995,10,Dosso,488
1995,10,Maradi,336
1995,10,Niamey,577
1995,10,Tahoua,132
1995,10,Tillaberi,402
1995,10,Zinder,6
1995,11,Agadez,0
1995,11,Diffa,0
1995,11,Dosso,614
1995,11,Maradi,48
1995,11,Niamey,638
1995,11,Tahoua,142
1995,11,Tillaberi,588
1995,11,Zinder,8
1995,12,Agadez,1
1995,12,Diffa,2
1995,12,Dosso,977
1995,12,Maradi,177
1995,12,Niamey,1634
1995,12,Tahoua,260
1995,12,Tillaberi,718
1995,12,Zinder,12
1995,13,Agadez,28
1995,13,Diffa,1
1995,13,Dosso,769
1995,13,Maradi,432
1995,13,Niamey,1845
1995,13,Tahoua,429
1995,13,Tillaberi,883
1995,13,Zinder,13
1995,14,Agadez,38
1995,14,Diffa,3
1995,14,Dosso,1011
1995,14,Maradi,383
1995,14,Niamey,1807
1995,14,Tahoua,348
1995,14,Tillaberi,1188
1995,14,Zinder,15
1995,15,Agadez,59
1995,15,Diffa,0
1995,15,Dosso,760
1995,15,Maradi,517
1995,15,Niamey,1660
1995,15,Tahoua,464
1995,15,Tillaberi,1011
1995,15,Zinder,13
1995,16,Agadez,57
1995,16,Diffa,6
1995,16,Dosso,1036
1995,16,Maradi,617
1995,16,Niamey,583
1995,16,Tahoua,419
1995,16,Tillaberi,1303
1995,16,Zinder,15
1995,17,Agadez,55
1995,17,Diffa,25
1995,17,Dosso,931
1995,17,Maradi,612
1995,17,Niamey,1001
1995,17,Tahoua,546
1995,17,Tillaberi,1162
1995,17,Zinder,19
1995,18,Agadez,60
1995,18,Diffa,13
1995,18,Dosso,912
1995,18,Maradi,623
1995,18,Niamey,398
1995,18,Tahoua,490
1995,18,Tillaberi,1097
1995,18,Zinder,22
1995,19,Agadez,44
1995,19,Diffa,36
1995,19,Dosso,812
1995,19,Maradi,640
1995,19,Niamey,323
1995,19,Tahoua,545
1995,19,Tillaberi,1003
1995,19,Zinder,18
1995,20,Agadez,43
1995,20,Diffa,7
1995,20,Dosso,733
1995,20,Maradi,580
1995,20,Niamey,321
1995,20,Tahoua,510
1995,20,Tillaberi,1095
1995,20,Zinder,43
1995,21,Agadez,46
