pays,x2010,x2011,x2012,x2013,x2014,x2015
Afghanistan,74600,72000,69500,67100,64800,62700
Angola,79100,76400,73700,71200,69000,67200
Albania,420,384,354,331,313,301
United Arab Emirates,683,687,686,681,672,658
Argentina,9550,9230,8860,8480,8100,7720
Armenia,723,686,649,614,579,545
Antigua and Barbuda,12,11,11,10,10,10
Australia,1200,1160,1110,1080,1050,1030
Austria,280,273,266,260,255,253
Azerbaijan,5210,5070,4890,4670,4420,4140
Burundi,21600,21100,20500,19900,19400,18900
Belgium,460,452,442,432,423,418
Benin,24700,24700,24700,24700,24600,24600
Burkina Faso,44200,43700,43200,42700,42300,41900
Bangladesh,121000,115000,109000,103000,97800,92700
Bulgaria,668,632,587,540,495,456
Bahrain,142,140,139,139,139,138
Bahamas,70,69,68,66,65,64
Bosnia and Herzegovina,214,202,191,181,173,165
Belarus,461,437,415,395,376,356
Belize,122,119,116,112,107,103
Bolivia,8250,7800,7380,6970,6600,6270
Brazil,50000,47700,45800,44300,43100,42100
Barbados,46,45,44,43,41,40
Brunei,53,55,56,58,59,60
Bhutan,456,427,403,383,367,353
Botswana,2150,2270,2230,2200,2250,2230
Central African Republic,16400,16000,15600,15300,14800,14300
Canada,1870,1870,1860,1840,1820,1800
Switzerland,309,311,313,316,317,318
Chile,1850,1820,1780,1750,1700,1640
China,218000,202000,186000,172000,158000,144000
Cote d'Ivoire,56400,56000,55600,55200,54800,54600
Cameroon,54000,53300,52300,50900,49800,48400
"Congo, Dem. Rep.",236000,236000,236000,235000,235000,233000
"Congo, Rep.",6680,6590,6540,6460,6360,6250
Colombia,11900,11500,11000,10600,10200,9900
Comoros,1490,1470,1450,1430,1410,1390
Cape Verde,244,235,223,210,196,182
Costa Rica,657,642,619,591,568,552
Cuba,638,623,608,593,576,557
Cyprus,36,35,33,32,31,31
Czech Republic,306,295,286,281,280,282
Germany,2350,2320,2320,2330,2370,2410
Djibouti,1320,1280,1250,1210,1170,1140
Dominica,19,20,21,22,24,25
Denmark,215,210,207,206,207,208
Dominican Republic,5970,5960,5960,5970,5980,5990
Algeria,20400,20600,20900,21200,21500,21600
Ecuador,5210,5020,4830,4660,4510,4370
Egypt,53200,53400,53400,53000,52200,51000
Eritrea,4410,4280,4120,3960,3810,3670
Spain,1560,1470,1380,1300,1230,1170
Estonia,55,49,45,40,37,34
Ethiopia,169000,163000,158000,153000,149000,145000
Finland,147,140,133,126,119,114
Fiji,380,380,381,384,388,395
France,2480,2450,2430,2420,2420,2420
"Micronesia, Fed. Sts.",69,67,65,64,62,60
Gabon,2210,2230,2230,2240,2270,2260
United Kingdom,3510,3410,3300,3200,3110,3040
Georgia,713,663,620,585,556,532
Ghana,37100,36300,35400,34500,33700,32800
Guinea,29600,29400,29300,29100,29100,29000
Gambia,3300,3290,3280,3270,3260,3240
Guinea-Bissau,4250,4140,4040,3950,3860,3780
Equatorial Guinea,2740,2740,2730,2720,2710,2690
Greece,369,361,355,352,351,348
Grenada,24,25,25,26,26,27
Guatemala,11600,11200,10800,10400,10100,9820
Guyana,485,475,466,456,444,432
Honduras,4120,3930,3760,3610,3480,3360
Croatia,201,193,185,178,171,166
Haiti,27900,15600,15400,15100,14700,14300
Hungary,470,452,439,426,408,384
Indonesia,140000,135000,130000,125000,120000,115000
India,1170000,1100000,1030000,965000,905000,851000
Ireland,255,249,243,235,226,215
Iran,21900,21300,20800,20400,20100,19700
Iraq,28700,28500,28300,27900,27400,26900
Iceland,10,10,9,9,8,8
Israel,566,559,552,544,537,529
Italy,1890,1820,1740,1650,1570,1490
Jamaica,773,746,719,691,666,642
Jordan,3550,3540,3510,3450,3380,3300
Japan,2610,2530,2390,2280,2170,2070
Kazakhstan,6580,6080,5530,4990,4520,4130
Kenya,57600,56600,56100,54900,53300,51400
Kyrgyz Republic,3690,3650,3590,3500,3370,3220
