country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,60,60,60,60,60,150,150,150,150,150,150,150,150,150,350,350,350,350,350,350,350,350
Angola,600,1200,1800,2500,3300,4300,5300,6300,7300,8200,9200,10k,11k,12k,12k,13k,13k,13k,12k,11k,,
Argentina,3000,3200,3400,3600,3800,3500,3200,3100,3000,3000,2700,2800,2800,2900,3100,3200,3200,3200,3000,2900,,
Armenia,60,60,60,60,60,60,60,60,60,150,150,150,350,350,350,350,350,350,350,350,350,350
Australia,350,600,600,600,600,600,600,350,350,350,150,150,150,150,150,150,150,150,150,150,150,150
Austria,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Azerbaijan,60,60,60,60,60,60,60,60,60,60,150,150,150,350,350,350,350,350,350,350,350,350
Burundi,3900,4900,6000,7300,8600,9800,11k,12k,12k,13k,14k,14k,15k,15k,15k,15k,15k,15k,15k,15k,,
Belgium,60,60,60,60,60,60,150,150,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Benin,120,300,300,300,600,600,1300,1700,2200,2600,3000,3100,3300,3500,3600,3700,3500,3200,3100,2700,,
Burkina Faso,6700,8500,10k,12k,13k,14k,15k,15k,15k,15k,15k,15k,14k,14k,13k,12k,10k,9300,8300,7100,,
Bangladesh,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,120,120,120,120,120,,
Bulgaria,60,60,60,60,60,60,60,60,60,60,60,60,60,150,150,150,150,150,150,350,350,350
Bahamas,350,350,600,600,600,600,600,600,600,600,600,600,600,600,600,600,350,350,350,350,350,350
Belarus,60,60,60,60,60,60,60,60,60,60,60,60,150,300,300,300,300,600,600,1000,,
Belize,60,60,60,60,60,150,150,150,150,150,350,350,350,350,350,350,350,350,350,350,350,350
Bolivia,1500,1700,1800,2000,2100,2100,2100,2100,2100,2100,2200,2200,2200,2200,2200,2200,2100,2100,2000,1900,1700,1600
Brazil,4600,5700,7000,8400,10k,12k,13k,13k,11k,10k,10k,11k,12k,12k,13k,13k,12k,14k,14k,14k,15k,15k
Barbados,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Bhutan,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Botswana,600,600,1300,2000,2900,4100,5500,7100,9000,11k,13k,15k,16k,17k,15k,12k,10k,9200,7900,5800,,
Central African Republic,1000,1600,2500,3700,5200,6900,8600,10k,12k,13k,14k,15k,15k,16k,16k,15k,15k,14k,12k,11k,,
Canada,1300,1600,1900,2100,2300,2500,2300,600,350,350,350,350,350,350,350,350,350,350,600,350,350,350
Switzerland,150,350,350,350,350,600,600,350,60,60,60,150,150,60,60,60,60,60,60,60,60,60
China,,,,,,,,,,,,,,,,,,,,26k,,
Cote d'Ivoire,3900,5800,8700,12k,17k,22k,28k,34k,39k,44k,48k,51k,52k,53k,53k,50k,47k,45k,41k,36k,,
Cameroon,600,1300,2100,3500,5600,8400,12k,16k,20k,24k,27k,31k,33k,35k,36k,38k,39k,38k,37k,37k,,
"Congo, Rep.",3000,3600,4200,4700,5000,5300,5500,5600,5600,5700,5700,5800,5800,5900,5900,5700,5100,4800,5000,5100,,
Colombia,1100,1500,2100,2900,3700,4700,5600,6500,7400,8200,8900,9300,7800,8000,8700,9300,9900,9200,9800,11k,11k,9700
Comoros,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,
Costa Rica,60,60,60,60,150,150,150,150,350,350,350,150,60,60,150,150,150,350,350,350,350,350
Cuba,60,60,60,150,150,150,150,150,150,150,350,350,150,60,60,150,150,350,150,150,150,150
Czech Republic,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,
Germany,2500,2800,3000,3100,3300,3300,2500,1700,1200,600,600,600,600,600,600,600,600,600,600,600,,
Djibouti,60,120,120,120,300,300,300,300,600,600,600,600,600,600,600,600,600,600,1000,1000,,
Denmark,60,60,60,60,120,120,120,60,60,60,60,60,60,60,60,60,60,60,60,60,,
Dominican Republic,350,600,600,1100,1400,1800,2200,2600,3000,3400,3700,4000,4100,4300,4400,4300,3900,3400,2700,2200,2000,1700
Algeria,60,60,60,60,60,60,60,60,120,120,120,300,300,300,300,600,600,600,600,600,,
Ecuador,600,600,600,1000,1200,1300,1400,1500,1700,1800,2000,2200,2300,2500,2600,2600,2600,2600,2500,2300,2100,2000
Egypt,60,60,60,60,60,60,60,60,60,60,120,120,120,300,300,300,300,300,300,300,,
Eritrea,120,120,300,300,600,600,600,1000,1200,1400,1600,1800,2000,2100,2200,2200,2000,1800,1700,1700,,
Spain,3000,3500,4000,4600,5200,5900,5900,3700,1800,2000,2000,1800,1700,1700,1700,1700,1700,1600,1600,1600,,
Estonia,60,60,60,60,60,60,60,60,60,60,60,120,120,300,300,300,300,300,300,300,,
Finland,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,
Fiji,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
France,8100,8200,8100,7900,7700,7500,5600,2700,1700,1700,1800,1800,1800,1800,1800,1500,1200,1200,1200,1300,1300,1300
Gabon,120,120,300,300,300,600,600,1000,1300,1500,1800,2000,2300,2500,2500,2300,2300,2500,2500,2400,,
United Kingdom,600,1100,1200,1400,1500,1600,1300,600,350,350,350,350,350,350,350,350,350,350,350,350,350,350
Georgia,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,150,150
Ghana,600,600,1400,2000,3000,4400,6200,8200,10k,12k,15k,16k,18k,19k,20k,20k,20k,20k,19k,18k,,
Guinea,1100,1600,2100,2700,3300,3900,4500,5000,5400,5800,6100,6300,6500,6600,6700,6400,5900,5200,5000,4700,,
Gambia,60,60,60,60,60,60,60,60,120,120,120,300,300,300,300,300,300,600,600,600,,
Guinea-Bissau,60,60,60,120,120,300,300,300,300,600,600,600,600,600,1100,1200,1300,1300,1200,1200,,
Equatorial Guinea,60,60,60,60,60,60,60,60,60,120,120,300,300,300,300,600,600,600,600,600,,
Greece,150,350,350,350,350,350,350,150,150,150,150,150,350,350,350,350,350,350,350,350,150,150
Guatemala,350,350,350,350,600,600,600,600,1100,1300,1500,1700,1900,2000,1600,1800,2100,2000,1800,1700,2100,2500
Guyana,150,150,150,150,350,350,350,350,350,600,600,600,600,600,600,600,350,350,350,350,350,350
Honduras,600,1100,1700,2500,3400,4300,5100,5900,6400,6800,7000,7000,6800,6500,5800,5100,4600,4200,3700,3400,3000,2800
Croatia,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Haiti,3900,5000,6100,7300,8300,9300,10k,11k,11k,11k,12k,12k,12k,11k,11k,11k,10k,8700,7600,6600,5900,5800
