country,x2010,x2011,x2012,x2013,x2014,x2015
Aruba,1110.0,1090.0,1070.0,1060.0,1050.0,1040.0
Afghanistan,1100000.0,1090000.0,1090000.0,1080000.0,1080000.0,1080000.0
Angola,1010000.0,1030000.0,1060000.0,1080000.0,1100000.0,1130000.0
Albania,35000.0,35900.0,37000.0,38000.0,38900.0,39500.0
United Arab Emirates,91200.0,94300.0,96500.0,97900.0,98400.0,98300.0
Argentina,749000.0,751000.0,753000.0,754000.0,754000.0,753000.0
Armenia,41300.0,40800.0,40300.0,39900.0,39500.0,39100.0
Antigua and Barbuda,1480.0,1480.0,1480.0,1480.0,1480.0,1490.0
Australia,304000.0,308000.0,311000.0,313000.0,316000.0,318000.0
Austria,78500.0,79100.0,79800.0,80600.0,81400.0,82100.0
Azerbaijan,198000.0,200000.0,200000.0,199000.0,197000.0,193000.0
Burundi,422000.0,436000.0,450000.0,463000.0,476000.0,488000.0
Belgium,128000.0,129000.0,129000.0,129000.0,130000.0,130000.0
Benin,360000.0,366000.0,371000.0,377000.0,382000.0,388000.0
Burkina Faso,661000.0,672000.0,683000.0,694000.0,705000.0,717000.0
Bangladesh,3240000.0,3210000.0,3190000.0,3170000.0,3150000.0,3130000.0
Bulgaria,72600.0,71400.0,70200.0,69100.0,68300.0,67600.0
Bahrain,19500.0,19800.0,20000.0,20100.0,20000.0,19700.0
Bahamas,5640.0,5700.0,5750.0,5790.0,5810.0,5830.0
Bosnia and Herzegovina,35500.0,35400.0,35000.0,34600.0,34100.0,33600.0
Belarus,108000.0,109000.0,111000.0,111000.0,112000.0,112000.0
Belize,7620.0,7720.0,7840.0,7960.0,8080.0,8190.0
Bolivia,253000.0,252000.0,252000.0,252000.0,253000.0,253000.0
Brazil,3100000.0,3080000.0,3070000.0,3050000.0,3040000.0,3020000.0
Barbados,3490.0,3470.0,3460.0,3440.0,3430.0,3410.0
Brunei,6880.0,6850.0,6800.0,6750.0,6700.0,6640.0
Bhutan,14300.0,14100.0,13800.0,13700.0,13600.0,13500.0
Botswana,52500.0,53500.0,54400.0,55000.0,55400.0,55500.0
Central African Republic,155000.0,157000.0,159000.0,161000.0,163000.0,164000.0
