Number,date,temp,rain
1,1/1/20,24.33047735,0
2,1/2/20,23.79149783,0
3,1/3/20,21.57724099,0
4,1/4/20,20.85526581,0
5,1/5/20,21.87724099,0
6,1/6/20,21.85166872,0
7,1/7/20,20.79395243,0
8,1/8/20,23.79159684,0
9,1/9/20,24.99143206,0
10,1/10/20,24.87707621,0
11,1/11/20,23.73008544,0
12,1/12/20,24.63907853,0
13,1/13/20,23.44797261,0
14,1/14/20,22.85879713,0
15,1/15/20,23.75431721,0
16,1/16/20,24.13145919,0
17,1/17/20,24.87707621,0
18,1/18/20,25.08165515,0
19,1/19/20,25.06553364,0
20,1/20/20,25.52119136,0
21,1/21/20,26.50418702,0
22,1/22/20,26.94051805,0
23,1/23/20,26.76386699,0
24,1/24/20,27.36736507,0
25,1/25/20,27.86504272,0
26,1/26/20,27.36873883,0
27,1/27/20,27.43368254,0
28,1/28/20,26.65614864,0
29,1/29/20,25.4672993,0
30,1/30/20,26.71926092,0
31,1/31/20,28.82782886,0
32,2/1/20,28.63721386,0
33,2/2/20,28.24444129,0
34,2/3/20,27.17011258,0
35,2/4/20,25.97276107,0
36,2/5/20,26.66873883,0
37,2/6/20,27.24267563,0
38,2/7/20,27.13505629,0
39,2/8/20,26.30009901,0
40,2/9/20,26.44620695,0
41,2/10/20,27.91379915,0
42,2/11/20,27.89833335,0
43,2/12/20,27.07988949,0
44,2/13/20,28.30722743,0
45,2/14/20,28.48669177,0
46,2/15/20,28.26824791,0
47,2/16/20,29.09735151,0
48,2/17/20,28.75294346,0
49,2/18/20,29.21981761,0
50,2/19/20,29.16641647,0
51,2/20/20,30.12285801,0
52,2/21/20,30.46239423,0
53,2/22/20,31.590615,0
54,2/23/20,30.80474372,0
55,2/24/20,31.92341471,0
56,2/25/20,31.41932669,0
57,2/26/20,30.46592555,0
58,2/27/20,29.91219827,0
59,2/28/20,30.00009901,0
60,2/29/20,29.98701791,0
61,3/1/20,29.36514173,0
62,3/2/20,29.82743695,0
63,3/3/20,30.10771835,0
64,3/4/20,31.61844386,0
65,3/5/20,31.42920261,0
66,3/6/20,30.58231085,0
67,3/7/20,29.55896191,0
68,3/8/20,29.76962166,0
69,3/9/20,30.29689383,0
70,3/10/20,31.69928195,0
71,3/11/20,29.45847099,0
72,3/12/20,29.60235559,0
73,3/13/20,30.81932669,0
74,3/14/20,32.21533769,0
75,3/15/20,31.33096827,0
76,3/16/20,31.85742338,0
77,3/17/20,31.52030853,0
78,3/18/20,32.42423177,0
79,3/19/20,32.47354489,0
80,3/20/20,31.35840522,0
81,3/21/20,32.4157296,0
82,3/22/20,31.64983728,0
83,3/23/20,31.54813739,0
84,3/24/20,30.71124967,0
85,3/25/20,30.20225658,0
86,3/26/20,30.81124967,0
87,3/27/20,31.85608287,0
88,3/28/20,33.30457894,0
89,3/29/20,31.54722132,0
90,3/30/20,33.62475522,0.22858015
91,3/31/20,34.39159684,0
92,4/1/20,35.1166782,0
93,4/2/20,34.38669177,0
94,4/3/20,33.14637173,0
95,4/4/20,34.20601846,0
96,4/5/20,33.89833335,0
97,4/6/20,34.78718269,0
98,4/7/20,34.0130811,0
99,4/8/20,33.23289872,0
100,4/9/20,33.18669177,0
101,4/10/20,32.42616221,0
102,4/11/20,33.51082452,0
103,4/12/20,33.32887647,5.653549039
104,4/13/20,30.22580283,1.973408627
105,4/14/20,28.43793533,3.476025888
106,4/15/20,26.41903379,0.96344184
