Number,site,date,temp,rain,dt
1,1,1/1/19,21.62037114,0,4049
2,1,1/2/19,19.36370309,0,4050
3,1,1/3/19,19.95222268,0,4051
4,1,1/4/19,17.43981443,0,4052
5,1,1/5/19,18.99203711,0,4053
6,1,1/6/19,20.1,0,4054
7,1,1/7/19,20.22564742,0,4055
8,1,1/8/19,20.1,0,4056
9,1,1/9/19,19.86018557,0,4057
10,1,1/10/19,19.23805567,0,4058
11,1,1/11/19,19.4,0,4059
12,1,1/12/19,19.8,0,4060
13,1,1/13/19,20.8,0,4061
14,1,1/14/19,20.4,0,4062
15,1,1/15/19,19.6,0,4063
16,1,1/16/19,19.5,0,4064
17,1,1/17/19,20.2,0,4065
18,1,1/18/19,20.1,0,4066
19,1,1/19/19,19.8,0,4067
20,1,1/20/19,20.4,0,4068
21,1,1/21/19,20.4,0,4069
22,1,1/22/19,20.9,0,4070
23,1,1/23/19,21.7,0,4071
24,1,1/24/19,22.1,0,4072
25,1,1/25/19,22.7,0,4073
26,1,1/26/19,22.7,0,4074
27,1,1/27/19,23.4,0,4075
28,1,1/28/19,22.4,0,4076
29,1,1/29/19,20.1,0,4077
30,1,1/30/19,19.3,0,4078
31,1,1/31/19,19.4,0,4079
32,1,2/1/19,21.3,0,4080
33,1,2/2/19,22.1,0,4081
34,1,2/3/19,22.5,0,4082
35,1,2/4/19,21.7,0,4083
36,1,2/5/19,21.3,0,4084
37,1,2/6/19,21.2,0,4085
38,1,2/7/19,22.1,0,4086
39,1,2/8/19,23.2,NA,4087
40,1,2/9/19,21.7,NA,4088
41,1,2/10/19,21,0,4089
42,1,2/11/19,21.2,0,4090
43,1,2/12/19,22,0,4091
44,1,2/13/19,22.8,0,4092
45,1,2/14/19,23.2,0,4093
46,1,2/15/19,24.1,0,4094
47,1,2/16/19,21.9,NA,4095
48,1,2/17/19,20.2,NA,4096
49,1,2/18/19,21.8,0,4097
50,1,2/19/19,23.8,0,4098
51,1,2/20/19,23.3,0,4099
52,1,2/21/19,24.3,0,4100
53,1,2/22/19,24.7,0,4101
54,1,2/23/19,26.1,0,4102
55,1,2/24/19,24.9,NA,4103
56,1,2/25/19,21.6,NA,4104
57,1,2/26/19,20.7,NA,4105
58,1,2/27/19,20.2,NA,4106
59,1,2/28/19,20.8,NA,4107
60,1,3/1/19,21.3,0,4108
61,1,3/2/19,21.6,0,4109
62,1,3/3/19,22.7,0,4110
63,1,3/4/19,22.3,NA,4111
64,1,3/5/19,21.8,NA,4112
65,1,3/6/19,24.1,NA,4113
66,1,3/7/19,24.5,0,4114
67,1,3/8/19,23.8,0,4115
68,1,3/9/19,23.7,0,4116
69,1,3/10/19,25.2,NA,4117
70,1,3/11/19,26.3,0,4118
71,1,3/12/19,27.7,0,4119
72,1,3/13/19,27.6,0,4120
73,1,3/14/19,28.1,0,4121
74,1,3/15/19,28.4,0,4122
75,1,3/16/19,28.2,0,4123
76,1,3/17/19,28.1,NA,4124
77,1,3/18/19,25.5,0,4125
78,1,3/19/19,25.6,0,4126
79,1,3/20/19,26.8,0,4127
80,1,3/21/19,28.4,0,4128
81,1,3/22/19,28.4,0,4129
82,1,3/23/19,27.7,0,4130
83,1,3/24/19,27.9,0,4131
84,1,3/25/19,28.2,0,4132
85,1,3/26/19,28,NA,4133
86,1,3/27/19,24.2,NA,4134
87,1,3/28/19,27.3,0,4135
88,1,3/29/19,28.7,0,4136
89,1,3/30/19,29.3,0,4137
90,1,3/31/19,26.3,NA,4138
91,1,4/1/19,26,NA,4139
92,1,4/2/19,24.2,NA,4140
93,1,4/3/19,25.6,0,4141
94,1,4/4/19,28.3,0,4142
95,1,4/5/19,27.6,NA,4143
96,1,4/6/19,26.6,NA,4144
97,1,4/7/19,25.9,0,4145
98,1,4/8/19,25.1,NA,4146
99,1,4/9/19,23.3,NA,4147
100,1,4/10/19,24.6,0,4148
101,1,4/11/19,27.4,NA,4149
102,1,4/12/19,27.4,NA,4150
103,1,4/13/19,26.8,NA,4151
104,1,4/14/19,28.8,0,4152
105,1,4/15/19,29.9,0,4153
106,1,4/16/19,30.1,NA,4154
107,1,4/17/19,29.5,0,4155
108,1,4/18/19,28.8,0,4156
109,1,4/19/19,30.2,0,4157
110,1,4/20/19,29.9,0,4158
111,1,4/21/19,28.9,NA,4159
112,1,4/22/19,28.8,0,4160
113,1,4/23/19,30.1,0,4161
114,1,4/24/19,31.1,0,4162
115,1,4/25/19,32.6,0,4163
116,1,4/26/19,30.9,0,4164
117,1,4/27/19,30.8,0,4165
118,1,4/28/19,31.6,0,4166
119,1,4/29/19,31.8,0,4167
120,1,4/30/19,31.6,0,4168
121,1,5/1/19,31.9,0,4169
122,1,5/2/19,31.4,0,4170
123,1,5/3/19,27.3,NA,4171
124,1,5/4/19,25.2,NA,4172
125,1,5/5/19,30,0,4173
126,1,5/6/19,30.5,0,4174
127,1,5/7/19,30.8,0,4175
128,1,5/8/19,31.1,0,4176
129,1,5/9/19,31.4,0,4177
130,1,5/10/19,31.9,0,4178
131,1,5/11/19,31.6,NA,4179
132,1,5/12/19,31.2,NA,4180
133,1,5/13/19,29.2,NA,4181
134,1,5/14/19,29.3,NA,4182
135,1,5/15/19,30.6,NA,4183
136,1,5/16/19,30.1,0,4184
137,1,5/17/19,29.2,NA,4185
138,1,5/18/19,29.5,NA,4186
139,1,5/19/19,28.7,0,4187
140,1,5/20/19,30.4,0,4188
141,1,5/21/19,31.5,NA,4189
142,1,5/22/19,29.60796289,NA,4190
143,1,5/23/19,29.69203711,0.460185569,4191
144,1,5/24/19,28.35398144,NA,4192
145,1,5/25/19,26.29379587,NA,4193
146,1,5/26/19,31.00796289,0,4194
147,1,5/27/19,30.47611134,4.463800022,4195
148,1,5/28/19,31.44601856,0,4196
149,1,5/29/19,31.96814846,0,4197
150,1,5/30/19,30.96370309,NA,4198
151,1,5/31/19,29.96814846,NA,4199
152,1,6/1/19,28.9221299,NA,4200
153,1,6/2/19,26.76194433,NA,4201
154,1,6/3/19,28.16194433,NA,4202
155,1,6/4/19,27.8,NA,4203
156,1,6/5/19,25.83185154,NA,4204
157,1,6/6/19,28.5778701,NA,4205
158,1,6/7/19,28.76194433,0,4206
159,1,6/8/19,29.35398144,0,4207
160,1,6/9/19,28.0778701,NA,4208
161,1,6/10/19,31.06018557,NA,4209
162,1,6/11/19,31.4,0,4210
163,1,6/12/19,32.12388866,0,4211
164,1,6/13/19,31.85398144,NA,4212
165,1,6/14/19,30.3,0,4213
166,1,6/15/19,26.9,NA,4214
167,1,6/16/19,30.77611134,0,4215
168,1,6/17/19,30.27611134,NA,4216
169,1,6/18/19,30.83185154,NA,4217
170,1,6/19/19,32.41592577,0,4218
171,1,6/20/19,30.4,NA,4219
172,1,6/21/19,29.7,NA,4220
173,1,6/22/19,30,NA,4221
174,1,6/23/19,31.85398144,0,4222
175,1,6/24/19,32.10796289,0,4223
176,1,6/25/19,32.12388866,0,4224
177,1,6/26/19,31.46194433,0,4225
178,1,6/27/19,29.73805567,NA,4226
179,1,6/28/19,28.14601856,NA,4227
180,1,6/29/19,30.75398144,0,4228
181,1,6/30/19,30.2,NA,4229
182,1,7/1/19,30.05398144,NA,4230
183,1,7/2/19,28.5,NA,4231
184,1,7/3/19,29.96018557,NA,4232
185,1,7/4/19,30.71592577,NA,4233
186,1,7/5/19,30.46990722,NA,4234
187,1,7/6/19,28.6,NA,4235
188,1,7/7/19,28.50796289,NA,4236
189,1,7/8/19,28.61592577,NA,4237
190,1,7/9/19,29.36194433,NA,4238
191,1,7/10/19,29.46990722,NA,4239
192,1,7/11/19,27.46194433,NA,4240
193,1,7/12/19,27.53805567,NA,4241
194,1,7/13/19,28.6,NA,4242
195,1,7/14/19,27.24601856,NA,4243
196,1,7/15/19,27.19203711,NA,4244
197,1,7/16/19,29.33805567,NA,4245
198,1,7/17/19,31.5,0,4246
199,1,7/18/19,30.6,NA,4247
200,1,7/19/19,30.7,0.138055671,4248
201,1,7/20/19,31.3,0,4249
202,1,7/21/19,31.5,NA,4250
203,1,7/22/19,32.1,0,4251
204,1,7/23/19,31.58407423,0,4252
205,1,7/24/19,30.16990722,NA,4253
206,1,7/25/19,29.51592577,NA,4254
207,1,7/26/19,27.57611134,NA,4255
208,1,7/27/19,28.34601856,NA,4256
209,1,7/28/19,29.46194433,0,4257
210,1,7/29/19,29.19203711,NA,4258
211,1,7/30/19,28.70796289,NA,4259
212,1,7/31/19,28.85398144,NA,4260
213,1,8/1/19,30.00796289,NA,4261
214,1,8/2/19,30.2,0,4262
215,1,8/3/19,29.03185154,NA,4263
216,1,8/4/19,30.89203711,0,4264
217,1,8/5/19,31.93805567,NA,4265
218,1,8/6/19,31.06194433,6.074449515,4266
219,1,8/7/19,29.02388866,NA,4267
220,1,8/8/19,27.26194433,NA,4268
221,1,8/9/19,29.85398144,0,4269
222,1,8/10/19,31.21592577,0,4270
223,1,8/11/19,31.44601856,NA,4271
224,1,8/12/19,30.61592577,NA,4272
225,1,8/13/19,28.00796289,NA,4273
226,1,8/14/19,27.7778701,NA,4274
227,1,8/15/19,28.35398144,NA,4275
228,1,8/16/19,29.6,NA,4276
229,1,8/17/19,29.24777732,0.460185569,4277
230,1,8/18/19,29.86990722,NA,4278
231,1,8/19/19,30.70796289,0,4279
232,1,8/20/19,31.00796289,0,4280
233,1,8/21/19,31.3778701,NA,4281
234,1,8/22/19,29.84601856,NA,4282
235,1,8/23/19,28.88407423,NA,4283
236,1,8/24/19,28.40796289,NA,4284
237,1,8/25/19,30.44601856,0.368148455,4285
238,1,8/26/19,30.8,0,4286
239,1,8/27/19,30.80796289,0,4287
240,1,8/28/19,30.49203711,0,4288
241,1,8/29/19,31.51592577,0,4289
242,1,8/30/19,31.60796289,0,4290
243,1,8/31/19,30.08407423,NA,4291
244,1,9/1/19,31.35398144,NA,4292
245,1,9/2/19,29.93805567,NA,4293
246,1,9/3/19,30.6,0,4294
247,1,9/4/19,30.29203711,0,4295
248,1,9/5/19,30.03805567,0.138055671,4296
249,1,9/6/19,29.86194433,0.230092785,4297
250,1,9/7/19,29.1,NA,4298
251,1,9/8/19,29.50796289,NA,4299
252,1,9/9/19,28.49203711,NA,4300
253,1,9/10/19,29.46194433,NA,4301
254,1,9/11/19,29.70796289,NA,4302
255,1,9/12/19,28.04601856,NA,4303
256,1,9/13/19,27.49203711,NA,4304
257,1,9/14/19,29.73805567,0,4305
258,1,9/15/19,30.63009278,0,4306
259,1,9/16/19,29.9221299,NA,4307
260,1,9/17/19,30.33009278,NA,4308
261,1,9/18/19,30.56194433,0,4309
262,1,9/19/19,30.88583299,0,4310
263,1,9/20/19,30.53805567,NA,4311
264,1,9/21/19,29.65398144,0,4312
265,1,9/22/19,28.23185154,NA,4313
266,1,9/23/19,28.4,NA,4314
267,1,9/24/19,27.20796289,NA,4315
268,1,9/25/19,26.16990722,NA,4316
269,1,9/26/19,28.01592577,NA,4317
270,1,9/27/19,28.7,NA,4318
271,1,9/28/19,27.43185154,NA,4319
272,1,9/29/19,26.70972165,NA,4320
273,1,9/30/19,27.46194433,0,4321
274,1,10/1/19,26.95398144,NA,4322
275,1,10/2/19,29.04601856,0,4323
276,1,10/3/19,28.63805567,8.881581487,4324
277,1,10/4/19,29.49203711,0,4325
278,1,10/5/19,29.50796289,0,4326
279,1,10/6/19,28.64777732,5.24611549,4327
280,1,10/7/19,27.92388866,NA,4328
281,1,10/8/19,28.36990722,0,4329
282,1,10/9/19,27.84601856,NA,4330
283,1,10/10/19,25.96990722,NA,4331
284,1,10/11/19,28.38583299,0,4332
285,1,10/12/19,28.81768453,0,4333
286,1,10/13/19,28.96194433,0,4334
287,1,10/14/19,28.89203711,0,4335
288,1,10/15/19,29.46990722,0,4336
289,1,10/16/19,27.43185154,NA,4337
290,1,10/17/19,29.42388866,0,4338
291,1,10/18/19,30.1,0,4339
292,1,10/19/19,29.9,0,4340
293,1,10/20/19,30.1,0,4341
294,1,10/21/19,29.2,NA,4342
295,1,10/22/19,29,NA,4343
296,1,10/23/19,27.5,NA,4344
297,1,10/24/19,22.65398144,NA,4345
298,1,10/25/19,24.16990722,NA,4346
299,1,10/26/19,24.66990722,NA,4347
300,1,10/27/19,25.2778701,0,4348
301,1,10/28/19,25.98407423,0,4349
302,1,10/29/19,26.59203711,0,4350
303,1,10/30/19,27.14601856,0,4351
304,1,10/31/19,27.4,0,4352
305,1,11/1/19,27.46990722,0,4353
306,1,11/2/19,27.26194433,0,4354
307,1,11/3/19,26.51592577,0,4355
308,1,11/4/19,27.16990722,0,4356
309,1,11/5/19,27.06990722,0,4357
310,1,11/6/19,26.16194433,0,4358
311,1,11/7/19,26.66990722,0,4359
312,1,11/8/19,25.10796289,NA,4360
313,1,11/9/19,24.10796289,NA,4361
314,1,11/10/19,23.73185154,NA,4362
315,1,11/11/19,25.7778701,0,4363
316,1,11/12/19,25.8778701,0,4364
317,1,11/13/19,26.10972165,0,4365
318,1,11/14/19,26.53981443,0,4366
319,1,11/15/19,26.28583299,0,4367
320,1,11/16/19,25.92388866,0,4368
321,1,11/17/19,25.33185154,0,4369
322,1,11/18/19,24.73185154,0,4370
323,1,11/19/19,24.4778701,0,4371
324,1,11/20/19,23.74777732,0,4372
325,1,11/21/19,24.16194433,0,4373
326,1,11/22/19,23.96990722,0,4374
327,1,11/23/19,23.79379587,0,4375
328,1,11/24/19,24.09379587,0,4376
329,1,11/25/19,24.14777732,0,4377
330,1,11/26/19,23.69379587,0,4378
331,1,11/27/19,24.26194433,0,4379
332,1,11/28/19,24.56194433,0,4380
333,1,11/29/19,24.42388866,0,4381
334,1,11/30/19,24.11592577,0,4382
335,1,12/1/19,23.60175876,0,4383
336,1,12/2/19,22.33185154,0,4384
337,1,12/3/19,21.64777732,0,4385
338,1,12/4/19,21.3778701,0,4386
339,1,12/5/19,23.26194433,0,4387
340,1,12/6/19,23.42388866,0,4388
341,1,12/7/19,23.48583299,0,4389
342,1,12/8/19,23.20796289,0,4390
343,1,12/9/19,22.13185154,0,4391
344,1,12/10/19,21.86990722,0,4392
345,1,12/11/19,21.32388866,0,4393
346,1,12/12/19,20.84777732,0,4394
347,1,12/13/19,20.83981443,0,4395
348,1,12/14/19,21.6,0,4396
349,1,12/15/19,22.12388866,0,4397
350,1,12/16/19,21.63981443,0,4398
351,1,12/17/19,20.89379587,0,4399
352,1,12/18/19,16.88583299,0,4400
353,1,12/19/19,15.0778701,0,4401
354,1,12/20/19,15.12388866,0,4402
355,1,12/21/19,14.84601856,0,4403
356,1,12/22/19,15.35398144,0,4404
357,1,12/23/19,17.42388866,0,4405
358,1,12/24/19,16.2,0,4406
359,1,12/25/19,16.52388866,0,4407
360,1,12/26/19,17.50796289,NA,4408
361,1,12/27/19,16.46990722,0.828334025,4409
362,1,12/28/19,16.21592577,0,4410
363,1,12/29/19,17.92388866,0,4411
364,1,12/30/19,18.5778701,0,4412
365,1,12/31/19,20.18583299,0,4413
