country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,,,,,,1100
Angola,7500,8500,9500,11k,12k,13k,15k,16k,17k,18k,19k,20k,21k,22k,23k,23k,24k,24k,24k,24k,24k,23k
Argentina,4900,5400,5800,6300,6700,6700,6700,6900,7000,7100,7000,7300,7400,7500,7600,7700,7700,7600,7500,7500,,5600
Armenia,60,60,60,60,120,120,300,300,300,300,120,120,120,120,120,120,120,120,300,300,,350
Australia,,,,,,,,,,,,,,,,,,,,,,1100
Austria,,,,,,,,,,,,,,,,,,,,,,1200
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,750
Burundi,16k,20k,26k,30k,32k,27k,19k,14k,9800,8100,7300,6900,6900,7200,7400,6900,6000,5100,4400,3700,3200,3000
Belgium,,,,,,,,,,,,,,,,,,,,,,1300
Benin,4000,4600,5200,6000,6900,7500,7700,7300,6600,6000,5500,5300,5100,5000,5000,5100,4800,4800,4900,4900,4900,4900
Burkina Faso,26k,21k,18k,18k,17k,14k,16k,16k,12k,14k,13k,13k,12k,8500,7900,7300,6900,6900,7000,8000,,
Bangladesh,60,160,160,160,160,160,160,350,350,350,350,350,350,750,750,750,750,750,750,750,1100,1300
Bulgaria,,,,,,,,,,,,,,,,,,,,,,350
Bahamas,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,350,350,350,350,350
Belarus,60,60,60,60,60,60,160,350,350,750,1300,2100,2800,3000,2800,2400,2100,1900,1800,1800,1800,1900
Belize,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
Bolivia,,,,,,,,,,,,,,,,,,,,,,1300
Brazil,,,,,,,,,,,,,,,,,,,,,,18k
Barbados,160,160,160,160,160,160,160,160,160,160,160,160,160,60,60,60,60,60,60,60,60,60
Bhutan,,,,,,,,,,,,,,,,,,,,,,350
Botswana,8900,13k,19k,25k,31k,36k,37k,37k,34k,31k,28k,26k,24k,22k,19k,17k,16k,16k,15k,14k,,
Central African Republic,17k,25k,31k,32k,29k,25k,22k,20k,18k,17k,15k,14k,13k,11k,10k,9200,8100,6800,6000,5200,,
Canada,,,,,,,,,,,,,,,,,,,,,,2600
Switzerland,,,,,,,,,,,,,,,,,,,,,,750
Chile,,,,,,,,,,,,,,,,,,,,,,2400
Cote d'Ivoire,52k,72k,90k,99k,98k,89k,78k,68k,61k,55k,50k,46k,42k,38k,35k,30k,27k,24k,21k,17k,,
Cameroon,21k,27k,33k,40k,46k,51k,56k,59k,61k,61k,59k,57k,58k,58k,56k,54k,52k,50k,47k,46k,43k,43k
"Congo, Rep.",8400,6500,5700,5600,5800,6000,6300,6600,6900,7100,7300,7500,7500,7500,7500,7100,6600,6500,6600,6500,,
Colombia,,,,,,,,,,,,,,,,,,,,,,11k
Costa Rica,,,,,,,,,,,,,,,,,,,,,,750
Cuba,,,,,,,,,,,,,,,,,,,,,,1700
Germany,,,,,,,,,,,,,,,,,,,,,,2900
Djibouti,600,600,1100,1300,1400,1500,1500,1500,1400,1400,1300,1300,1300,1300,1200,1200,1200,1300,1300,1300,,
Denmark,,,,,,,,,,,,,,,,,,,,,,350
Dominican Republic,5200,5700,6100,6400,6500,6300,6000,5600,5200,5200,5100,4900,4600,4400,3900,3600,3100,2600,2200,1800,1700,1500
Ecuador,,,,,,,,,,,,,,,,,,,,,,2400
Egypt,,,,,,,,,,,,,,,,,,,,,,1500
Eritrea,1800,2400,3100,3500,3700,3600,3400,3100,2900,2700,2600,2400,2300,2200,2100,1900,1600,1500,1400,1300,,1200
Spain,,,,,,,,,,,,,,,,,,,,,,3400
Estonia,,,,,,,,,,,,,,,,,,,,,,750
Ethiopia,91k,120k,140k,160k,160k,170k,170k,170k,160k,150k,140k,130k,110k,85k,70k,60k,50k,42k,36k,32k,28k,24k
Finland,,,,,,,,,,,,,,,,,,,,,,160
Fiji,,,,,,,,,,,,,,,,,,,,,,60
France,5900,6500,7000,7200,7600,7900,8000,7600,7100,6700,5900,5300,5300,5300,5300,5300,5300,5300,5300,5900,6000,6100
Gabon,1400,1700,2100,2500,3000,3500,4000,4400,4700,4900,5000,4900,4800,4500,4300,4000,3700,3500,3500,3400,3200,3000
United Kingdom,,,,,,,,,,,,,,,,,,,,,,2500
Georgia,160,60,60,60,60,60,160,160,160,160,350,350,350,350,350,350,350,750,750,750,750,750
Ghana,19k,21k,24k,26k,27k,28k,29k,29k,30k,28k,28k,28k,27k,26k,23k,21k,20k,18k,17k,15k,14k,13k
Guinea,9400,10k,11k,10k,9800,9100,8600,8200,7900,7800,7700,7700,7700,7700,7700,7500,7000,6400,6400,6200,,5800
Gambia,160,350,350,350,350,350,750,750,750,750,1100,1200,1400,1500,1600,1600,1600,1500,1500,1400,1400,1300
