country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,600,600,1000,1100,1200,1300,1400,1500,1600,1800,1900,2000,2200,2400,2700,2900,3200,3600,4100,4600,5200,5800
Angola,1030,,,,,,,,,,,33k,39k,46k,54k,62k,71k,80k,89k,99k,110k,120k,130k,140k,150k,160k,170k,180k,190k,200k,210k,220k,230k
Argentina,2710,,,,,,,,,,,27k,31k,35k,39k,43k,47k,51k,54k,58k,61k,64k,66k,68k,71k,74k,77k,80k,83k,86k,90k,92k,95k
Armenia,,,,,,,,,,,,350,600,600,600,1000,1300,1600,2000,2400,2800,3200,3500,3700,3800,3800,3800,3800,3700,3600,3600,3500,3600
Australia,,,,,1380,,,,,,,12k,12k,12k,11k,11k,11k,11k,11k,11k,12k,12k,13k,14k,14k,15k,16k,17k,18k,19k,20k,21k,22k
Austria,,,400,,,,,,,,,600,600,1000,1300,1500,1900,2300,2800,3300,4000,4700,5500,6400,7500,8600,9900,11k,12k,14k,15k,16k,18k
Azerbaijan,,,,,,,,,,,,60,160,160,350,350,600,600,1200,1600,2000,2500,3000,3500,3900,4400,4800,5100,5400,5700,6000,6300,6700
Burundi,383,,,,,,,,,,,61k,76k,96k,120k,140k,160k,160k,160k,160k,150k,140k,130k,130k,120k,110k,110k,100k,99k,94k,89k,84k,80k
Belgium,,,,728,,,,,,,,1400,1900,2400,3000,3700,4400,5000,5800,6600,7400,8300,9300,10k,11k,12k,13k,15k,16k,17k,18k,19k,20k
Benin,,,,,,235,,,,,,78k,76k,74k,73k,72k,72k,72k,71k,70k,69k,67k,66k,64k,62k,61k,60k,60k,60k,60k,61k,63k,64k
Burkina Faso,260,,,,,,,,,,,180k,180k,180k,180k,180k,180k,180k,170k,170k,160k,160k,150k,150k,140k,140k,130k,130k,130k,120k,120k,120k,120k
Bangladesh,,,,,,,,,,,,1100,1200,1200,1200,1200,1300,1300,1400,1600,1800,2000,2200,2500,2800,3200,3700,4200,4800,5400,6100,6800,7700
Bulgaria,,,,,,,,,,,,350,350,350,350,350,600,600,600,1000,1200,1500,1700,2000,2200,2500,2800,3100,3300,3500,3700,3800,3900
Bahamas,10,,,,,,,,,,,5900,6200,6400,6500,6600,6600,6700,6700,6600,6600,6500,6500,6400,6300,6300,6300,6400,6400,6400,6300,6400,6500
Belarus,,,,,,,,,,,,60,60,60,60,60,160,350,350,600,1600,2900,4900,7500,10k,13k,15k,16k,17k,18k,19k,20k,20k
Belize,,,,,,,,,,,,600,1100,1300,1600,1800,2000,2300,2500,2700,3000,3200,3400,3500,3700,3900,4000,4100,4200,4400,4500,4600,4600
Bolivia,,,,,,,,,,,,23k,23k,23k,23k,23k,24k,24k,25k,25k,26k,26k,26k,25k,25k,24k,22k,21k,20k,19k,18k,17k,17k
Brazil,51.5k,,,,,,,,,,,190k,220k,260k,290k,320k,350k,370k,390k,410k,430k,440k,450k,460k,470k,480k,480k,480k,490k,490k,490k,490k,490k
Barbados,36,,,,,,,,,,,600,600,600,600,600,600,1100,1100,1100,1200,1200,1200,1200,1200,1300,1300,1300,1300,1400,1400,1400,1400
Bhutan,,,,,,,,,,,,60,60,60,60,60,60,60,60,60,60,60,60,160,160,350,350,350,600,600,600,1100,1300
Botswana,469,,,,,,,,,,,41k,59k,79k,100k,130k,160k,180k,210k,230k,250k,260k,270k,270k,280k,280k,280k,280k,280k,290k,290k,290k,300k
Central African Republic,1150,,,,,,,,,,,130k,140k,150k,150k,160k,170k,170k,170k,180k,180k,170k,170k,170k,160k,160k,150k,150k,140k,140k,130k,130k,130k
Canada,1800,,,,,,,,,,,35k,36k,38k,39k,40k,40k,41k,42k,43k,45k,47k,48k,51k,53k,55k,57k,59k,62k,64k,67k,69k,71k
Switzerland,,,,,,,2710,,,,,7900,9000,10k,11k,11k,12k,12k,12k,13k,13k,13k,14k,14k,15k,16k,16k,17k,18k,19k,19k,20k,20k
Chile,,,,,,,465,,,,,5300,6700,8700,11k,15k,19k,24k,28k,33k,37k,40k,42k,44k,46k,47k,48k,49k,49k,50k,50k,50k,51k
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780k
Cote d'Ivoire,4560,,,,,,,,,,,350k,400k,440k,480k,520k,540k,570k,580k,590k,590k,580k,560k,540k,520k,490k,470k,440k,420k,400k,380k,370k,360k
Cameroon,,532,,,,,,,,,,61k,85k,110k,150k,190k,230k,270k,310k,350k,390k,420k,450k,470k,490k,500k,520k,530k,540k,540k,550k,550k,550k
"Congo, Rep.",70,,,,,,,,,,,63k,68k,71k,73k,74k,75k,75k,75k,75k,75k,74k,74k,74k,74k,74k,74k,75k,76k,77k,79k,81k,83k
Colombia,,,,,,1890,,,,,,47k,60k,72k,84k,93k,100k,110k,110k,120k,130k,130k,130k,140k,140k,140k,140k,150k,150k,150k,150k,150k,150k
Comoros,,,,,,,,,,,,60,60,60,60,60,60,60,60,60,60,60,60,60,160,160,160,160,160,350,350,350,350
Cape Verde,,,,,,,,,,,,1400,1600,1700,1800,1900,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3000,3100,3200,3200,3200,3300,3300
Costa Rica,,,,,,,,,,,,1200,1400,1700,1900,2300,2600,2900,3300,3700,4100,4500,5000,5500,6000,6500,6900,7300,7700,8100,8400,8700,8800
Cuba,,,,,,,,,,,,1100,1200,1300,1400,1600,1800,2000,2200,2500,2800,3100,3600,4100,4700,5400,6200,7100,8100,9300,11k,12k,14k
Czech Republic,,,,,,,,,,,,160,350,350,350,600,600,600,600,1000,1100,1300,1400,1500,1600,1600,1700,1800,1800,1900,2000,2000,2100
Germany,,,,10.3k,,,,,,,,34k,35k,36k,36k,36k,36k,37k,38k,39k,41k,42k,44k,47k,49k,52k,56k,59k,62k,65k,68k,71k,73k
Djibouti,,,,,25,,,,,,,1800,2700,3900,5100,6400,7700,8900,10k,11k,12k,12k,12k,12k,12k,11k,11k,11k,10k,10k,9700,9400,9200
Denmark,,,,360,,,,,,,,1300,1500,1600,1700,1900,2000,2200,2400,2700,2900,3200,3500,3700,4000,4300,4500,4800,5100,5300,5600,5800,6100
Dominican Republic,1510,,,,,,,,,,,16k,21k,27k,32k,36k,41k,44k,47k,49k,50k,51k,52k,52k,51k,50k,49k,48k,47k,46k,45k,45k,44k
Ecuador,464,,,,,,,,,,,12k,13k,15k,16k,18k,20k,22k,24k,26k,28k,30k,32k,33k,34k,34k,35k,35k,35k,34k,34k,35k,35k
Egypt,,,,,,,,,,,,600,600,600,1200,1700,2300,3100,4300,5700,7300,8400,9100,9300,9100,8800,8400,8100,8000,8000,8300,8800,9500
Eritrea,,,,,,,153,,,,,2500,3200,4200,6000,8800,12k,16k,18k,20k,21k,22k,23k,24k,24k,24k,24k,24k,24k,24k,23k,23k,23k
